price,distance,amneties,ratings
799,5.0,ACWiFiQueen Sized BedTVPower backupReception,4.5
499,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
626,2.0,ACFree WifiTVGeyserPower backupElevator,2.9
576,6.5,WiFiACTV,3.0
699,1.4,ACFree WifiTVPower backupGeyserElevator,3.5
999,4.6,ACFree WifiTVGeyserPower backup,2.8
649,4.6,ACFree WifiTVGeyserPower backupElevator,3.8
999,3.6,WiFiACTVGeyserPower backupElevator,3.7
999,5.0,ACFree WifiTVGeyserPower backupElevator,3.6
572,1.8,ACTVFree WifiCCTV cameras24/7 check-inAttached bathroom,2.2
1499,5.1,ACTVFree WifiMini FridgeSeating areaPower backup,4.6
2964,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
599,9.7,WiFiACTVGeyserPower backup,3.5
1714,8.8,ACModern wardrobeFree WifiKitchenKing Sized BedTV,4.1
727,3.7,WiFiACTVGeyserPower backup,3.5
796,4.5,ACFree WifiTVGeyserPower backup,NEW
876,4.5,ACTVFree WifiKing Sized BedMini FridgeSeating area,2.8
1499,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
576,8.5,ACFree WifiTVGeyserPower backup,2.4
599,4.6,ACFree WifiTVGeyserPower backup,3.9
799,5.0,ACWiFiQueen Sized BedTVPower backupReception,4.5
499,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
626,2.0,ACFree WifiTVGeyserPower backupElevator,2.9
576,6.5,WiFiACTV,3.0
699,1.4,ACFree WifiTVPower backupGeyserElevator,3.5
999,4.6,ACFree WifiTVGeyserPower backup,2.8
649,4.6,ACFree WifiTVGeyserPower backupElevator,3.8
999,3.6,WiFiACTVGeyserPower backupElevator,3.7
999,5.0,ACFree WifiTVGeyserPower backupElevator,3.6
572,1.8,ACTVFree WifiCCTV cameras24/7 check-inAttached bathroom,2.2
1499,5.1,ACTVFree WifiMini FridgeSeating areaPower backup,4.6
2964,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
599,9.7,WiFiACTVGeyserPower backup,3.5
1714,8.8,ACModern wardrobeFree WifiKitchenKing Sized BedTV,4.1
727,3.7,WiFiACTVGeyserPower backup,3.5
796,4.5,ACFree WifiTVGeyserPower backup,NEW
876,4.5,ACTVFree WifiKing Sized BedMini FridgeSeating area,2.8
1499,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
576,8.5,ACFree WifiTVGeyserPower backup,2.4
599,4.6,ACFree WifiTVGeyserPower backup,3.9
799,5.0,ACWiFiQueen Sized BedTVPower backupReception,4.5
499,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
626,2.0,ACFree WifiTVGeyserPower backupElevator,2.9
576,6.5,WiFiACTV,3.0
699,1.4,ACFree WifiTVPower backupGeyserElevator,3.5
999,4.6,ACFree WifiTVGeyserPower backup,2.8
649,4.6,ACFree WifiTVGeyserPower backupElevator,3.8
999,3.6,WiFiACTVGeyserPower backupElevator,3.7
999,5.0,ACFree WifiTVGeyserPower backupElevator,3.6
572,1.8,ACTVFree WifiCCTV cameras24/7 check-inAttached bathroom,2.2
1499,5.1,ACTVFree WifiMini FridgeSeating areaPower backup,4.6
2964,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
599,9.7,WiFiACTVGeyserPower backup,3.5
1714,8.8,ACModern wardrobeFree WifiKitchenKing Sized BedTV,4.1
727,3.7,WiFiACTVGeyserPower backup,3.5
796,4.5,ACFree WifiTVGeyserPower backup,NEW
876,4.5,ACTVFree WifiKing Sized BedMini FridgeSeating area,2.8
1499,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
576,8.5,ACFree WifiTVGeyserPower backup,2.4
599,4.6,ACFree WifiTVGeyserPower backup,3.9
799,5.0,ACWiFiQueen Sized BedTVPower backupReception,4.5
499,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
626,2.0,ACFree WifiTVGeyserPower backupElevator,2.9
576,6.5,WiFiACTV,3.0
699,1.4,ACFree WifiTVPower backupGeyserElevator,3.5
999,4.6,ACFree WifiTVGeyserPower backup,2.8
649,4.6,ACFree WifiTVGeyserPower backupElevator,3.8
999,3.6,WiFiACTVGeyserPower backupElevator,3.7
999,5.0,ACFree WifiTVGeyserPower backupElevator,3.6
572,1.8,ACTVFree WifiCCTV cameras24/7 check-inAttached bathroom,2.2
1499,5.1,ACTVFree WifiMini FridgeSeating areaPower backup,4.6
2964,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
599,9.7,WiFiACTVGeyserPower backup,3.5
1714,8.8,ACModern wardrobeFree WifiKitchenKing Sized BedTV,4.1
727,3.7,WiFiACTVGeyserPower backup,3.5
796,4.5,ACFree WifiTVGeyserPower backup,NEW
876,4.5,ACTVFree WifiKing Sized BedMini FridgeSeating area,2.8
1499,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
576,8.5,ACFree WifiTVGeyserPower backup,2.4
599,4.6,ACFree WifiTVGeyserPower backup,3.9
799,5.0,ACWiFiQueen Sized BedTVPower backupReception,4.5
