price,distance,ratings,wifi,AC,TV,Queen Sized Bed,Geyser,King Sized Bed,Power backup,Mini Fridge
799,5.0,4.5,1,1,1,1,0,0,1,0
699,1.4,3.5,1,1,1,0,1,0,1,0
576,6.5,3.0,1,1,1,0,0,0,0,0
999,4.6,2.8,1,1,1,0,1,0,1,0
999,3.6,3.7,1,1,1,0,1,0,1,0
649,4.6,3.8,1,1,1,0,1,0,1,0
999,5.0,3.6,1,1,1,0,1,0,1,0
572,1.8,2.2,1,1,1,0,0,0,0,0
1629,8.8,4.1,1,1,1,0,0,1,0,0
1499,5.1,4.6,1,1,1,0,0,0,1,1
2957,3.4,5.0,1,1,1,0,0,0,0,1
599,9.7,3.5,1,1,1,0,1,0,1,0
876,4.5,2.8,1,1,1,0,0,1,0,1
576,6.1,3.8,1,1,1,0,0,0,0,0
908,2.0,2.9,1,1,1,0,1,0,1,0
796,4.5,3.5684210526315785,1,1,1,0,1,0,1,0
727,3.7,3.5,1,1,1,0,1,0,1,0
1499,5.0,4.0,1,1,1,0,1,0,1,0
599,4.6,3.9,1,1,1,0,1,0,1,0
576,8.5,2.4,1,1,1,0,1,0,1,0
799,5.0,4.5,1,1,1,1,0,0,1,0
699,1.4,3.5,1,1,1,0,1,0,1,0
576,6.5,3.0,1,1,1,0,0,0,0,0
999,4.6,2.8,1,1,1,0,1,0,1,0
999,3.6,3.7,1,1,1,0,1,0,1,0
649,4.6,3.8,1,1,1,0,1,0,1,0
999,5.0,3.6,1,1,1,0,1,0,1,0
572,1.8,2.2,1,1,1,0,0,0,0,0
1629,8.8,4.1,1,1,1,0,0,1,0,0
1499,5.1,4.6,1,1,1,0,0,0,1,1
2957,3.4,5.0,1,1,1,0,0,0,0,1
599,9.7,3.5,1,1,1,0,1,0,1,0
876,4.5,2.8,1,1,1,0,0,1,0,1
576,6.1,3.8,1,1,1,0,0,0,0,0
908,2.0,2.9,1,1,1,0,1,0,1,0
796,4.5,3.5684210526315785,1,1,1,0,1,0,1,0
727,3.7,3.5,1,1,1,0,1,0,1,0
1499,5.0,4.0,1,1,1,0,1,0,1,0
599,4.6,3.9,1,1,1,0,1,0,1,0
576,8.5,2.4,1,1,1,0,1,0,1,0
799,5.0,4.5,1,1,1,1,0,0,1,0
699,1.4,3.5,1,1,1,0,1,0,1,0
576,6.5,3.0,1,1,1,0,0,0,0,0
999,4.6,2.8,1,1,1,0,1,0,1,0
999,3.6,3.7,1,1,1,0,1,0,1,0
649,4.6,3.8,1,1,1,0,1,0,1,0
999,5.0,3.6,1,1,1,0,1,0,1,0
572,1.8,2.2,1,1,1,0,0,0,0,0
1629,8.8,4.1,1,1,1,0,0,1,0,0
1499,5.1,4.6,1,1,1,0,0,0,1,1
2957,3.4,5.0,1,1,1,0,0,0,0,1
599,9.7,3.5,1,1,1,0,1,0,1,0
876,4.5,2.8,1,1,1,0,0,1,0,1
576,6.1,3.8,1,1,1,0,0,0,0,0
908,2.0,2.9,1,1,1,0,1,0,1,0
796,4.5,3.5684210526315785,1,1,1,0,1,0,1,0
727,3.7,3.5,1,1,1,0,1,0,1,0
1499,5.0,4.0,1,1,1,0,1,0,1,0
599,4.6,3.9,1,1,1,0,1,0,1,0
576,8.5,2.4,1,1,1,0,1,0,1,0
799,5.0,4.5,1,1,1,1,0,0,1,0
699,1.4,3.5,1,1,1,0,1,0,1,0
576,6.5,3.0,0,0,0,0,0,0,0,0
999,4.6,2.8,1,1,1,0,1,0,1,0
999,3.6,3.7,1,1,1,0,1,0,1,0
649,4.6,3.8,1,1,1,0,1,0,1,0
999,5.0,3.6,1,1,1,0,1,0,1,0
572,1.8,2.2,1,1,1,0,0,0,0,0
1629,8.8,4.1,1,1,1,0,0,1,0,0
1499,5.1,4.6,1,1,1,0,0,0,1,1
2957,3.4,5.0,1,1,1,0,0,0,0,1
599,9.7,3.5,1,1,1,0,1,0,1,0
576,6.1,3.8,1,1,1,0,0,0,0,0
796,4.5,3.5684210526315785,1,1,1,0,1,0,1,0
908,2.0,2.9,1,1,1,0,1,0,1,0
727,3.7,3.5,1,1,1,0,1,0,1,0
599,4.6,3.9,1,1,1,0,1,0,1,0
1782,2.8,4.1,1,1,1,0,0,0,0,0
576,8.5,2.4,1,1,1,0,1,0,1,0
599,4.8,3.2,1,1,1,0,1,0,1,0
799,5.0,4.5,1,1,1,1,0,0,1,0
699,1.4,3.5,1,1,1,0,1,0,1,0
576,6.5,3.0,1,1,1,0,0,0,0,0
999,4.6,2.8,1,1,1,0,1,0,1,0
999,3.6,3.7,1,1,1,0,1,0,1,0
649,4.6,3.8,1,1,1,0,1,0,1,0
999,5.0,3.6,1,1,1,0,1,0,1,0
572,1.8,2.2,1,1,1,0,0,0,0,0
1629,8.8,4.1,1,1,1,0,0,1,0,0
1499,5.1,4.6,1,1,1,0,0,0,1,1
2957,3.4,5.0,1,1,1,0,0,0,0,1
599,9.7,3.5,1,1,1,0,1,0,1,0
576,6.1,3.8,1,1,1,0,0,0,0,0
796,4.5,3.5684210526315785,1,1,1,0,1,0,1,0
908,2.0,2.9,1,1,1,0,1,0,1,0
727,3.7,3.5,1,1,1,0,1,0,1,0
599,4.6,3.9,1,1,1,0,1,0,1,0
1782,2.8,4.1,1,1,1,0,0,0,0,0
576,8.5,2.4,1,1,1,0,1,0,1,0
599,4.8,3.2,1,1,1,0,1,0,1,0
