,Unnamed: 0,price,distance,amneties,ratings
0,0,576.0,4.9,Free WifiACTVGeyserPower backupBanquet hall,3.8
1,1,649.0,3.7,Free WifiACTVPower backupParking facilityCCTV cameras,3.2
2,2,2717.0,3.4,Free WifiKitchenACTVMini FridgeSeating area,5.0
3,3,599.0,7.2,Free WifiQueen Sized BedACTV,2.9
4,4,599.0,4.6,ACTVFree WifiGeyserPower backupReception,4.1
5,5,576.0,6.5,WiFiACTV,3.3
6,6,999.0,3.6,WiFiACTVGeyserPower backupElevator,3.7
7,7,1078.0,7.6,Free WifiACTV,3.6
8,8,999.0,4.2,ACTVFree WifiPower backupGeyserElevator,3.6
9,9,999.0,4.9,WiFiQueen Sized BedACTVSeating area,3.9
10,10,1598.0,4.0,ACTVFree WifiKitchenPower backupFire Exit,3.2
11,11,999.0,5.7,ACTVFree WifiKing Sized BedPower backupGeyser,3.2
12,12,632.0,5.0,ACFree WifiTVGeyserPower backup,3.242528735632184
13,13,1499.0,5.1,ACTVFree WifiMini FridgeSeating areaPower backup,4.6
14,14,599.0,6.8,ACFree WifiTVGeyserPower backupElevator,3.5
15,15,887.0,3.9,ACTVFree WifiFully Functional KitchenKitchenFree High Speed WiFi,3.2
16,16,804.0,8.6,TVFree WifiACPower backupGeyserElevator,3.6
17,17,999.0,5.0,ACTVFree WifiPower backupGeyserCard payment,2.6
18,18,578.0,9.0,WiFiACTVGeyserPower backup,2.9
19,19,937.0,5.9,WiFiACTVGeyserPower backup,3.7
20,20,1199.0,5.0,ACFree WifiTVGeyserPower backupElevator,3.5
21,21,1782.0,2.8,WiFiACTVAttached bathroom,4.1
22,22,599.0,9.7,WiFiACTVGeyserPower backup,3.6
23,23,999.0,4.6,ACFree WifiTVGeyserPower backup,2.9
24,24,511.0,8.6,Free WifiACTVGeyserPower backup,3.9
25,25,1499.0,5.0,ACTVFree WifiGeyserPower backupElevator,4.0
26,26,999.0,4.9,WiFiKing Sized BedACTV,2.8
27,27,1006.0,2.0,ACFree WifiTVGeyserPower backupElevator,2.6
28,28,699.0,1.4,ACFree WifiTVPower backupGeyserElevator,2.2
29,29,999.0,5.0,ACFree WifiTVGeyserPower backupCCTV cameras,3.9
30,30,1199.0,4.8,ACFree WifiTVPower backupGeyserElevator,3.5
31,31,1199.0,5.4,ACTVFree WifiSeating areaGeyserPower backup,3.5
32,32,1199.0,5.3,ACTVFree WifiPower backupParking facilityCCTV cameras,3.4
33,33,607.0,4.1,ACFree WifiTVGeyserPower backup,3.242528735632184
34,34,999.0,7.7,WiFiACTVGeyserPower backupElevator,4.0
35,35,1101.0,4.6,ACFree WifiTVGeyserPower backupElevator,3.8
36,36,1123.0,6.5,WiFiACTV,3.5
37,37,999.0,4.9,WiFiTVQueen Sized BedACPower backupReception,3.6
38,38,576.0,2.0,ACFree WifiTVGeyserPower backup,3.242528735632184
39,39,949.0,9.9,ACFree WifiKitchenKing Sized BedAttached WashroomTV,2.9
40,40,576.0,7.7,ACFree WifiTVGeyserPower backupElevator,3.242528735632184
41,41,770.0,6.7,WiFiACTVMini FridgeSeating areaPower backup,2.7
42,42,564.0,9.0,Free WifiACTVPower backupCCTV camerasPrivate entrance,2.4
43,43,999.0,4.8,ACFree WifiTVGeyserPower backup,3.1
44,44,678.0,4.6,ACFree WifiTVGeyserPower backupElevator,3.242528735632184
45,45,1010.0,9.0,ACFree WifiTVGeyserPower backupElevator,4.1
46,46,726.0,8.2,Free WifiACTVGeyserPower backup,2.7
47,47,807.0,5.5,ACFree WifiKitchenTVPower backupGeyser,3.5
48,48,869.0,8.6,ACFree WifiTVGeyserPower backupCCTV cameras,3.4
49,49,1499.0,5.8,ACTVFree WifiGeyserPower backupElevator,4.3
50,50,1199.0,5.3,Free WifiACTVPower backupGeyserCard payment,3.4
51,51,1406.0,8.5,Free WifiKitchenACTVPower backupParking facility,3.2
52,52,681.0,8.5,WiFiACTVGeyserPower backup,2.7
53,53,759.0,7.2,ACFree WifiTVGeyserPower backup,3.242528735632184
54,54,999.0,4.2,WiFiACTV,3.3
55,55,1875.0,6.4,ACTVFree WifiKitchenKing Sized BedAttached Washroom,3.7
56,56,1199.0,4.6,ACTVFree WifiQueen Sized BedPower backupCard payment,3.3
57,57,576.0,8.5,WiFiACTV,3.0
58,58,1251.0,5.0,ACFree WifiTVGeyserPower backupElevator,2.8
59,59,1794.0,8.6,Free WifiACTVCCTV cameras,2.7
60,60,1054.0,6.7,WiFiACTVGeyserPower backup,3.0
61,61,1906.0,4.8,ACFree WifiTVGeyserPower backupIn-house restaurant,4.0
62,62,549.0,7.6,Free WifiACTVGeyserPower backup,3.242528735632184
63,63,2105.0,6.8,ACTVFree WifiPower backupGeyserElevator,4.1
64,64,1772.0,6.0,WiFiACTV,3.6
65,65,637.0,6.7,WiFiACTV,2.4
66,66,1670.0,8.2,TVACFree WifiPower backupParking facilityElevator,3.0
67,67,1490.0,5.1,ACFree WifiTVGeyserPower backup,3.242528735632184
68,68,2598.0,8.7,ACTVFree WifiCCTV cameras,3.6
69,69,603.0,5.4,ACFree WifiTVGeyserPower backup,3.3
70,70,576.0,7.4,ACFree WifiTVGeyserPower backup,2.3
71,71,615.0,5.5,WiFiACTV,3.242528735632184
72,72,731.0,8.3,WiFiACTVGeyserPower backup,2.8
73,73,1199.0,4.3,WiFiACTV,3.9
74,74,1765.0,9.9,ACTVFree WifiPower backupParking facilityCCTV cameras,3.9
75,75,1093.0,7.7,ACTVFree WifiPower backupCoffee/tea makerCCTV cameras,3.8
76,76,913.0,9.9,WiFiACTVGeyserPower backup,3.5
77,77,853.0,8.3,ACFree WifiTVPower backupGeyserElevator,3.1
78,78,599.0,7.7,ACFree WifiTVGeyserPower backupCCTV cameras,2.4
79,79,1001.0,8.4,WiFiACTVPower backupGeyserCCTV cameras,2.6
80,80,999.0,5.0,WiFiACTVGeyserPower backup,2.7
81,81,600.0,5.2,ACFree WifiTVGeyserPower backupElevator,3.242528735632184
82,82,1074.0,5.0,WiFiACTV,2.5
83,83,1318.0,5.4,ACTVFree WifiGeyserPower backupCard payment,2.6
84,84,1199.0,4.5,ACFree WifiKitchenTVGeyserPower backup,2.9
85,85,1317.0,9.3,WiFiACTVGeyserCCTV camerasDoctor on call,2.8
86,86,1767.0,4.7,ACTVModern wardrobeFree WifiKing Sized BedQueen Sized Bed,3.0
87,87,999.0,4.7,ACFree WifiTVGeyserPower backup,3.242528735632184
88,88,1468.0,9.8,WiFiACTVSeating area,3.1
89,89,999.0,4.8,WiFiACTV,3.0
90,90,1943.0,8.7,ACFree WifiTVGeyserPower backupParking facility,3.1
91,91,1481.0,7.6,ACTVFree WifiKitchenPower backupGeyser,2.4
92,92,1257.0,8.2,ACFree WifiTVGeyserPower backupElevator,3.242528735632184
93,93,1248.0,9.3,WiFiACTVGeyserPower backup,2.5
94,94,776.0,4.4,ACFree WifiTVPower backupGeyserCCTV cameras,1.0
95,95,599.0,5.2,ACFree WifiTVGeyserPower backup,3.242528735632184
96,96,576.0,5.5,ACFree WifiTVGeyserPower backup,2.3
97,97,,3.6,ACTVFree WifiKitchenPower backupGeyser,2.8
98,98,,5.0,ACFree WifiTVGeyserPower backupElevator,3.0
99,99,,5.4,ACTVFree WifiPower backupGeyserParking facility,3.5
